178,"鹿"
measuring,"测量"
medusa_(lancer)_(fate),"美杜莎(枪手)(fate)"
okita_j._souji_(fate),"冲田j.总司(fate)"
originium_arts_(arknights),"源石艺术(方舟)"
rengoku_kyoujurou,"莲国镜十郎"
tail_around_leg,"尾巴绕腿"
tambourine,"手鼓"
used_condom_on_penis,"在阴茎上使用过避孕套"
wakaba_(kancolle),"若叶(舰娘)"
year_of_the_rooster,"鸡年"
yellow-tinted_eyewear,"黄色眼镜"
lunamaria_hawke,"月神霍克"
matsukaze_tenma,"松风天马"
nipple_pull,"拉乳头,乳头拉"
pizza_box,"比萨盒,披萨盒"
single_head_wing,"单头翼"
stuffed_penguin,"毛绒企鹅"
alternate_hair_ornament,"备用发饰"
bunny_day,"兔子日"
hayashi_custom,"林风俗"
horseshoe,"马蹄铁"
ken_masters,"肯大师"
kyouda_suzuka,"京田铃鹿"
mayo_riyo,"梅奥riyo"
oboro_muramasa,"带村正"
person_on_head,"头上的人"
renkin_san-kyuu_magical_pokaan,"renkinsan-kyuu神奇的pokaan"
sailor_chibi_moon,"水手赤壁月亮"
waving_arms,"挥动手臂"
whislash_(arknights),"whislash(方舟之夜)"
yuuno_scrya,"尤诺斯克亚"
akashio_(loli_ace),"akashio(萝莉王牌)"
flcl,"佛罗里达州"
kaname_madoka_(cosplay),"要小圆(角色扮演)"
lance_of_longinus,"长矛"
leone_abbacchio,"利昂阿巴基奥"
midriff_sarashi,"腹部sarashi"
purple-tinted_eyewear,"紫色眼镜"
sixteenth_note,"第十六注"
bacius,"芽孢杆菌"
blue_umbrella,"蓝色雨伞"
bolt,"螺栓"
front_zipper_swimsuit,"拉链在正面的泳衣,前拉链泳衣"
male_underwear_pull,"男内裤拉"
masayo_(gin_no_ame),"masayo(杜松子酒)"
mega_man_zx,"洛克人zx"
mikoyan,"米高扬"
misu_kasumi,"美须霞"
nijiura_maids,"nijiura女仆"
ohta_yuichi,"太田雄一"
purple_socks,"紫色腿装,紫色袜子"
ui_(blue_archive),"ui(蓝色档案)"
dragon_ball_gt,"龙珠gt"
fu-ta,"扶他"
jeanne_d'arc_(swimsuit_archer)_(second_ascension)_(fate),"jeanned'arc(泳装弓箭手)(第二次升天)(fate)"
liang_xing,"梁兴"
lolibaba,"罗利巴"
magallan_(arknights),"麦哲伦(方舟之夜)"
nekobungi_sumire,"猫文木堇"
silva_(granblue_fantasy),"席尔瓦(碧蓝幻想)"
toyokawa_fuka,"丰川深香"
uni_mate,"好朋友"
compass,"指南针"
crotch_grab,"胯部抓斗"
decapitation,"斩首"
hoodie_lift,"连帽衫升降机"
keebo,"奇宝"
military_operator,"军事操作员"
rough_sex,"粗暴的性行为"
soraka_(league_of_legends),"索拉卡(英雄联盟)"
super_pochaco,"超级波查科"
table_sex,"表性"
vahn_yourdoom,"vahn你的末日"
aegir_(azur_lane),"艾吉尔(碧蓝航线)"
fine_motion_(umamusume),"精细动作(umamusume)"
john_doe,"约翰·多伊"
knives_between_fingers,"手指间的刀"
mikozin,"米科津"
nagare,"流"
pig_ears,"猪耳朵"
raven_(dc),"乌鸦(直流)"
rioshi,"肉酱"
scoop_neck,"汤匙领"
side-tie_peek,"侧领带偷看"
spider-man:_into_the_spider-verse,"蜘蛛侠：进入蜘蛛诗"
tekken_7,"铁拳7"
ushizaki_urumi,"牛崎urumi"
chandelure,"吊灯"
drugged,"下药"
fanning_self,"扇动自我"
germany,"德国"
greninja,"格林尼加"
invisible_man,"隐形人"
kurokote,"黑手"
udagawa_tomoe,"田川友惠"
bamboo_blade,"竹刀片"
bat_girl,"蝙蝠女孩"
black_clover,"黑三叶草"
erwin_(girls_und_panzer),"欧文(少女与装甲)"
gao,"高"
micro_bra,"微胸罩"
multitasking,"多任务处理"
nagami_yuu,"永上悠"
nishimata_aoi,"西又葵"
pinstripe_suit,"细条纹西装"
plaid_ribbon,"格子丝带"
roxy_migurdia,"罗克西米古尔迪亚"
shugo_chara!,"守护甜心！"
split_theme,"拆分主题"
visual_novel,"视觉小说"
bridal_legwear,"新娘裤袜"
camonome,"卡莫诺姆"
frog_girl,"青蛙女孩"
hyrule_warriors,"海拉鲁战士"
loaded_interior,"装载内部"
miwa_shirow,"三轮士郎"
otter,"水獭"
paw_print_pattern,"爪印图案"
rabbit_on_head,"头上的兔子"
small_nipples,"小乳头"
warning_sign,"警告标志"
weapon_bag,"武器包"
against_railing,"靠栏杆"
apartment,"公寓"
arms_between_legs,"双腿之间的手臂"
bigrbear,"大熊"
cuboon,"立方体"
grey_leotard,"灰色紧身衣"
identity_v,"身份v"
michii_yuuki,"道井优树"
sen_(astronomy),"森(天文学)"
tracen_swimsuit,"tracen泳衣"
vanilla_(nekopara),"香草(nekopara)"
alice_cartelet,"爱丽丝卡特尔,爱丽丝·卡塔雷特(黄金拼图)"
butz_klauser,"巴茨克劳泽"
centauroid,"半人马座"
flonne,"弗洛讷"
homura_subaru,"小焰斯巴鲁"
infinote,"无限"
macross_7,"宏指令7"
meimaru_inuchiyo,"犬之明丸"
midori_(blue_archive),"midori(蓝色档案)"
samson_(skullgirls),"参孙(骷髅女孩)"
wokada,"和田"
carapace,"甲壳"
energy_beam,"能量束"
hyuuga_azuri,"日向阿祖里"
i-no,"我不"
karory,"卡罗里"
neck_garter,"吊袜带"
saigusa_haruka,"西草遥"
shamal,"沙马尔"
alice_cartalet,"爱丽丝卡特尔,爱丽丝·卡塔雷特(黄金拼图)"
atelier_totori,"工作室鸟取"
bismarck_(azur_lane),"俾斯麦(碧蓝航线)"
breasts_on_table,"桌子上的乳房"
brown_corset,"棕色紧身胸衣"
colored_stripes,"彩色条纹"
destroyer_princess,"驱逐舰公主"
emoticon,"图释"
front-print_panties,"正面有图案的内裤,正面印花内裤"
gold_necklace,"金项链"
half-skirt,"半裙"
hand_tattoo,"手纹身"
kotatsu_(g-rough),"被炉(g-粗)"
kumadano,"熊野"
lifebuoy_ornament,"救生圈装饰品"
listening_to_music,"听音乐"
momoi_(blue_archive),"桃井(蓝色档案)"
nakamura_regura,"中村雷古拉"
orange_jumpsuit,"橙色连身裤"
stuffed_dog,"毛绒狗"
alice_carteret,"爱丽丝卡特尔,爱丽丝·卡塔雷特(黄金拼图)"
brand_new_animal,"全新动物"
dilation_tape,"扩张带"
felyne,"猫"
food_on_breasts,"乳房上的食物,胸上有食物"
mizutani_eri,"水谷绘里"
white_mask,"白色面具"
bathhouse,"澡堂"
casing_ejection,"套管弹射"
cum_on_glasses,"精液在眼镜上"
fingering_through_panties,"指法通过内裤"
hollow_eyes,"漆黑的眼睛,空洞的眼睛"
ishuzoku_reviewers,"ishuzoku评论家"
melia_antiqua,"梅利亚古董"
minase_nayuki,"水濑奈雪"
piyokichi,"皮约吉"
runny_makeup,"流鼻涕的妆"
shirasagi_chisato,"白鹭千里"
sora_no_kiseki,"空之轨迹"
tsurui,"鹤井"
vyrn_(granblue_fantasy),"vyrn(碧蓝幻想)"
wide_face,"宽脸"
african_wild_dog_(kemono_friends),"非洲野狗(kemono朋友)"
aster_crowley,"翠菊克劳利"
caro_ru_lushe,"卡罗鲁鲁瑟"
censored_text,"审查文本"
crocodilian,"鳄鱼"
ditto,"同上"
haoni,"豪尼"
hayasaka_mirei,"早坂美玲"
saint_quartz_(fate),"圣石英(fate)"
shibuya_kanon,"涩谷加音"
tribal_tattoo,"部落纹身"
u_u_zan,"乌瓒"
aile_(crossroads),"aile(十字路口)"
elise_(fire_emblem),"伊莉丝(火徽)"
imperishable_night,"不朽的夜晚"
magic_knight_rayearth,"魔法骑士rayearth"
penis_to_breast,"阴茎到乳房"
sayo_samonji,"小夜三文治"
takaharu,"高春"
toddlercon,"蹒跚学步"
valkyrie_profile,"女武神简介"
cian_yo,"前哟"
emotionless_sex,"无情的性爱"
gray_(fate),"灰色(fate)"
mikazuki_yozora,"三日月夜空"
pancake_stack,"煎饼堆"
sato_shin,"佐藤新"
broken_armor,"破甲"
kawayabug,"川屋虫"
matsubara_kanon,"松原花音"
natsuki_(doki_doki_literature_club),"夏木(dokidoki文学部)"
paizuri_invitation,"乳交邀请"
uzuki_sayaka,"铃木沙耶香"
stack_of_pancakes,"煎饼堆"
amane_hasuhito,"天音莲人"
animal_on_hand,"手头上的动物"
announcement_celebration,"公告庆典"
asahina_aoi,"朝比奈葵"
astolfo_(saber)_(fate),"astolfo(军刀)(fate)"
asuna_(sao-alo),"亚丝娜(sao-alo)"
black_survival,"黑人生存"
chloe_(princess_connect!),"克洛伊(公主连接！)"
floating_clothes,"浮衣"
green_belt,"绿化带"
irene_(arknights),"艾琳(方舟之夜)"
kittysuit,"小猫套装"
pastry_bag,"糕点袋"
razor_(genshin_impact),"雷泽(原神)"
spider-gwen,"蜘蛛格温"
temple,"寺庙"
arrancar,"破案"
fanbox_username,"fanbox用户名"
gilgamesh_(caster)_(fate),"吉尔伽美什(施法者)(fate)"
graf_eisen,"格拉夫艾森"
hacka_doll_3,"哈卡娃娃3"
hanzou,"汉州"
high_tops,"可以覆盖脚踝的运动鞋,高帮"
hima,"希马"
hisasi,"希西"
honoka_(doa),"穗花(doa)"
milotic,"米罗"
paper_stack,"纸叠"
clothes_pin,"衣夹"
crane_game,"起重机游戏"
isometric,"等轴测,等轴图"
kashino_(hot_springs_relaxation)_(azur_lane),"kashino(温泉放松)(azurlane)"
kurona,"库罗纳"
majin_android_21,"魔人机器人21"
musket,"火枪"
pearl_earrings,"珍珠耳环"
wet_towel,"湿毛巾"
cauldron,"大锅"
chomusuke,"长之助"
cinderace,"煤灰狼"
determined,"下定决心,有决心的"
dr.p,"博士"
goutokuji_mike,"goutokuji麦克"
implied_kiss,"暗示亲吻"
mazinger_(series),"神奇女侠(系列)"
paint_splatter_on_face,"油漆溅到脸上"
pov_doorway,"pov门口"
powerpuff_girls_z,"飞天小女警z"
rinne_no_lagrange,"林诺拉格朗日"
sankuma,"三隈"
embroidery,"刺绣技法"
genzoman,"源藏人"
hanna-justina_marseille,"汉娜·贾斯蒂娜·马赛"
ittokyu,"伊东急"
matilda_fiship,"玛蒂尔达鱼"
sakura_(fire_emblem),"樱花(火徽)"
takamiya_rion,"高宫rion"
brown_neckerchief,"棕色围巾"
chocolate_cake,"巧克力蛋糕"
iggy_(jojo),"iggy(乔乔)"
infirmary,"医务室"
kamisimo_90,"卡米西莫90"
kotobuki_(momoko_factory),"寿(桃子工厂)"
livestream,"直播"
prison,"监狱"
rin_yuu,"凛悠"
roots,"根"
yoshizawa_kasumi,"吉泽霞"
gladiator_sandals,"角斗士凉鞋"
graduation,"毕业"
kokudou_juunigou,"国豆十号"
kumada_masaru,"熊田胜"
metroid_(creature),"银河战士(生物)"
saigado,"赛加多"
selection_university_military_uniform,"选择大学军装"
wallpaper_(object),"壁纸(对象)"
yuuri_(shoujo_shuumatsu_ryokou),"yuuri(少女shuumatsuryokou)"
jail,"监狱"
nurse's_office,"医务室"
bear_panties,"熊印花内裤,熊内裤"
crypto_(apex_legends),"加密(顶级传奇)"
engrish_commentary,"英文评论"
fuuma_nagi,"风魔凪"
iwbitu,"伊比图"
prosciutto,"意大利熏火腿"
saw,"锯"
shirotsumekusa,"白毛草"
syuri22,"苏里22"
two-tone_leotard,"两色紧身衣"
walther,"瓦尔特"
nurse_office,"医务室"
greatmosu,"大摩苏"
grisaia_(series),"灰色(系列)"
jolteon,"乔尔顿"
mia_(fire_emblem),"米娅(火徽)"
nedia_(nedia_region),"内迪亚(内迪亚地区)"
oda_ken'ichi,"织田健一"
pavolia_reine,"帕沃利亚雷因"
phosphophyllite_(ll),"磷叶石(ll)"
rainbow_background,"彩虹背景"
throat_microphone,"喉部麦克风"
travel_attendant,"旅行服务员"
triangle_hair_ornament,"三角发饰"
velvet_crowe,"天鹅绒克劳"
yoshitomi_akihito,"吉富明仁"
assassin_cross_(ragnarok_online),"刺客十字架(仙境传说在线)"
devil_survivor,"恶魔幸存者"
freyja_wion,"弗雷亚·维昂"
hooded_dress,"连帽连衣裙"
la_pluma_(arknights),"lapluma(方舟之夜)"
nippon_professional_baseball,"日本职业棒球"
rui_shi_(rayze_ray),"瑞诗(rayzeray)"
sairenji_haruna,"西连寺榛名"
saya_no_uta,"说没有uta"
tsukiyo_(skymint),"月代(天薄荷)"
wrestle_angels,"摔跤天使"
yumizuka_satsuki,"由水冢小月"
atago_(summer_march)_(azur_lane),"爱宕(夏季进行曲)(碧蓝航线)"
caracal_(kemono_friends),"狞猫(kemono朋友)"
energy_cannon,"能量炮"
half_mask,"半面罩"
katarina_(league_of_legends),"卡特琳娜(英雄联盟)"
magician,"魔术师"
naganami_kai_ni_(kancolle),"naganamikaini(舰娘)"
scalpel,"手术刀"
simulated_fellatio,"模拟口交"
smart_falcon_(umamusume),"聪明的猎鹰(umamusume)"
admire_vega_(umamusume),"佩服vega(umamusume)"
beijuu,"北车"
chameleon_(ryokucha_combo),"变色龙(ryokucha组合)"
clawed_gauntlets,"爪状护手"
eas,"东亚"
gastly,"气急败坏"
jibril_(no_game_no_life),"jibril(没有游戏就没有生命)"
noctis_lucis_caelum,"黑夜夜蛾"
omaru_gyuunyuu,"小丸gyuunyuu"
shannon_(umineko),"香农(umineko)"
shippou_(pattern),"shippou(模式)"
stick_poster,"贴海报"
alina_gray,"阿丽娜灰色"
arnest,"阿内斯特"
blemishine_(arknights),"瑕疵(方舟之夜)"
bottle_miku,"瓶miku"
cropped_sweater,"短款毛衣"
fuukadia_(narcolepsy),"fuukadia(嗜睡症)"
hiten_(hitenkei),"飞天(hitenkei)"
holding_swimsuit,"拿着泳衣"
kirishima_satoshi,"雾岛聪"
latias,"拉蒂亚斯"
musouzuki,"无双月"
panties_over_pantyhose,"连裤袜上的内裤"
quick_waipa,"快速waipa"
raven_(tales),"乌鸦(故事)"
shimada_chiyo,"岛田千代"
silverash_(arknights),"silverash(方舟之夜)"
spaceship_hair_ornament,"飞船发饰"
tori_(minamopa),"托里(minamopa)"
tron_bonne_(mega_man),"tronbonne(巨人)"
ashiomi_masato,"潮见正人"
cure_lovely,"治愈可爱"
hounori,"霍诺里"
kotoyama,"琴山"
long_labia,"长阴唇"
malenia_blade_of_miquella,"miquella的malenia刀片"
muppo,"穆波"
pacific_rim,"环太平洋"
polearm_behind_back,"长柄武器在背后"
raccoon,"浣熊"
ricegnat,"稻谷"
suzuka_gozen_(fate),"铃鹿御前(fate)"
temari_(naruto),"手鞠(火影忍者)"
tennis,"网球"
trolling,"拖钓"
yokosuka_girls_marine_high_school_uniform,"横须贺女子海洋高中制服"
congratulations,"恭喜"
implied_anal,"隐含的肛门"
kalina_(girls'_frontline),"卡琳娜(女子前线)"
minegumo_(kancolle),"峰云(舰娘)"
munakata_(sekimizu_kazuki),"宗像(关水一树)"
pochincoff,"波钦科夫"
sega,"世嘉"
tolkien's_legendarium,"托尔金的传奇馆"
chacharan,"查查兰"
cookie_run,"饼干跑"
fading,"褪色"
four-leaf_clover_hair_ornament,"四叶草发饰"
gold_footwear,"金鞋"
hair_over_one_breast,"一根乳房上的头发,头发盖在一边胸上"
high_school_dxd_infinity,"高中dxd无限"
judith_(tales),"朱迪思(故事)"
keqing_(opulent_splendor)_(genshin_impact),"刻晴(富丽堂皇)(原神)"
kitashirakawa_chiyuri,"北白川千百合"
leaf_background,"叶背景"
morinaka_kazaki,"森中风崎"
proposal,"提案"
rukuriri_(girls_und_panzer),"rukuriri(少女与装甲)"
sanrio,"三丽鸥"
surfing,"冲浪"
yadokari_genpachirou,"宿狩玄八郎"
chocolate_making,"巧克力制作"
himesaka_noa,"姬坂noa"
legwear_removed,"去除了裤袜"
nagioka,"长冈"
narumi_arata,"鸣海"
sekiro:_shadows_die_twice,"只狼：影子死了两次"
ainu,"阿伊努人"
masakichi_(crossroad),"正吉(十字路口)"
nyong_nyong,"宁宁"
perseus_(azur_lane),"英仙座(碧蓝航线)"
sasha_braus,"萨沙布劳斯"
spicy_nun_(diva),"辣修女(diva)"
tokyo_(city),"东京(市)"
akchu,"阿克楚"
ayatsuji_tsukasa,"绫辻tsukasa"
cupboard,"橱柜"
f-ism,"自由主义"
hiradaira_chisaki,"平平千崎"
kazemaru_ichirouta,"风丸一郎太"
lisa_lisa,"丽莎丽莎"
penguin_costume,"企鹅服装"
resident_evil_village,"居民恶村"
super_masara,"超级马萨拉"
argyle_cutout,"菱形镂空"
bekkankou,"别馆口"
catsuit,"紧身连衣裤"
ett,"等"
fast_food,"快餐"
holding_chocolate,"拿着巧克力"
huge_dildo,"巨大的假阳具"
keyblade,"键刃"
m.m,"毫米"
nagishiro_mito,"水户渚代"
pyrrha_nikos,"皮拉尼科斯"
red_tank_top,"红色背心"
self_exposure,"自我暴露"
toggles,"拨动开关"
volleyball_net,"排球网"
vrchat,"虚拟聊天"
flailing,"连连"
gradient_skin,"渐变皮肤"
kariyushi_shirt,"karariyushi衬衫"
laundry_basket,"洗衣篮"
metal_boots,"金属靴"
poi,"兴趣点"
side-tie_skirt,"侧系带裙"
symbol,"符号"
wooloo,"羊毛"
ai_ai_gasa,"爱爱加沙"
bravely_default_(series),"勇敢地默认(系列)"
combat_knife,"战斗刀"
deutschland_(azur_lane),"德国(碧蓝航线)"
drum_magazine,"鼓弹匣"
ellen_baker,"艾伦贝克"
flippers,"脚蹼"
frame_arms_girl,"框架武器女孩"
morishima_haruka,"森岛遥"
sailor_collar_lift,"水手领升降机"
tashkent_(azur_lane),"塔什干(碧蓝航线)"
tony_tony_chopper,"托尼托尼斩波器"
tsubaki_yayoi,"椿弥生"
anmi,"安米"
boa_(brianoa),"蟒蛇(brianoa)"
broken_sword,"断剑"
dashed_eyes,"黑眼圈中的水平线,虚线的眼睛"
glock,"格洛克"
glowing_hand,"发光的手"
grey_tank_top,"灰色背心"
lily_black,"百合黑"
mari_(blue_archive),"mari(蓝色档案)"
namamo_nanase,"生藻七濑"
o-ring_swimsuit,"o型圈泳衣"
sam_browne_belt,"山姆布朗腰带"
seeu,"见"
triangular_eyewear,"三角眼镜"
walzrj,"华尔兹"
wii_fit,"wii适合"
yuusha_series,"玉莎系列"
aurahack,"奥拉哈克"
dairoku_ryouhei,"大六两平"
dash_eyes,"黑眼圈中的水平线"
fate/extra_ccc_fox_tail,"fate/额外的ccc狐尾"
kama_(first_ascension)_(fate),"kama(第一次提升)(fate)"
panda_hood,"熊猫头巾"
police_car,"警车"
transparent_censoring,"透明审查"
wind_turbine,"风力涡轮机"
zero_no_kiseki,"零之轨迹"
ange_(princess_principal),"安吉(公主校长)"
artstation_sample,"艺术站样本"
asamiya_athena,"朝宫雅典娜"
black_coat_(kingdom_hearts),"黑色外套(王国之心)"
brown_sleeves,"棕色袖子"
crow_(siranui),"乌鸦(siranui)"
goggles_removed,"护目镜已取下"
honma_himawari,"本间向日葵"
jewelry_removed,"珠宝被移除"
line_in_eye,"黑眼圈中的水平线"
mukyuu,"向来"
nanami_yachiyo,"七海八千代"
purple_tongue,"紫舌"
soccer_spirits,"足球精神"
tony_guisado,"托尼·吉萨多"
yatterman,"亚特曼"
yuuki_yuuna,"优纪优奈"
flying_paper,"飞纸"
ghost_in_the_shell_stand_alone_complex,"攻壳机动队独立复合体"
holding_own_tail,"握着自己的尾巴"
isaki_(gomi),"伊崎(五味)"
janus_(kancolle),"janus(舰娘)"
kanzuki_karin,"菅月卡琳"
karutamo,"卡鲁塔莫"
kitten_(gravity_daze),"小猫(重力发呆)"
neoartcore,"新艺术核心"
otoi_rekomaru,"乙井rekomaru"
ping_hai_(azur_lane),"平海(碧蓝航线)"
sayu_(genshin_impact),"早柚(原神)"
teardrop_tattoo,"泪珠纹身"
cabbage,"卷心菜"
deer_antlers,"鹿角"
doyouwantto,"做你想做的"
folder,"文件夹"
hand_rest,"扶手"
key_(company),"关键(公司)"
kfc,"肯德基"
multiple_weapons,"多种武器"
pantyhose_under_swimsuit,"泳衣下连裤袜"
rope_belt,"绳带"
saga_(arknights),"传奇(方舟之夜)"
saitou_masatsugu,"斋藤征继"
sakaguchi_karina,"坂口卡琳娜"
shirosaki_hana,"白崎花"
tanamachi_kaoru,"田町薰"
unfairr,"更不公平"
village,"村庄"
firelock,"防火锁"
kuroyukihime,"黑雪姬"
leo_(fire_emblem),"狮子座(火徽)"
lifting,"起重"
megurigaoka_high_school_uniform,"巡丘高中校服"
natsuya_(kuttuki),"夏也(kuttuki)"
print_swimsuit,"印花泳衣"
scouter,"侦察机"
sexual_coaching,"性辅导"
bc_freedom_(emblem),"公元前自由(标志)"
cash_register,"收银机"
game_boy_(original),"游戏男孩(原版)"
gold_bracelet,"金手链"
hands_on_another's_chest,"手放在别人的胸前"
hina_(swimsuit)_(blue_archive),"hina(泳装)(蓝色档案)"
invisible,"隐形"
korie_riko,"古江梨子"
lane_line,"车道线"
leaning_on_rail,"靠在铁轨上"
litwick,"立特威克"
totodile,"蟾蜍"
twintails_day,"双马尾日"
akasaai,"阿卡赛"
clarent_(fate),"克拉伦特(fate)"
fitting_room,"试衣间"
ginga_nakajima,"银加中岛"
kedama_milk,"毛豆牛奶"
kyogoku_shin,"京极新"
lord_knight_(ragnarok_online),"骑士勋爵(仙境传说在线)"
natsume_kyousuke,"夏目恭介"
purple_cardigan,"紫色开衫"
zima_(arknights),"齐玛(方舟之夜)"
entangled,"纠结"
inuinui,"犬奴"
kurot,"库洛特"
neta,"净值"
popsicle_stick,"冰棒棒,冰棒棍"
royal_penguin_(kemono_friends),"皇家企鹅(kemono朋友)"
shining_(arknights),"闪亮(方舟)"
tajima_yuuki,"田岛优树"
undefined_fantastic_object,"未定义的奇妙物体"
apple_caramel,"苹果焦糖"
cumulonimbus_cloud,"积雨云"
flower_on_head,"头上的花,头上有花"
greem_bang,"格林邦"
ice_cream_float,"冰淇淋浮子,飘浮冰淇淋"
jintsuu_kai_ni_(kancolle),"jintsuukaini(舰娘)"
lansane,"兰桑"
pinned,"固定"
ribbon-trimmed_bra,"丝带边饰文胸"
roto,"旋转"
stomping,"跺脚"
temari_ball,"手鞠球"
whip_sword,"鞭剑"
adsouto,"广告"
justice_gakuen,"正义学园"
meadow,"草地,草甸"
mercedes_von_martritz,"梅赛德斯·冯·马特里茨"
mizuho_(kancolle),"瑞穗(舰娘)"
morikura_en,"森仓en"
octopath_traveler,"八方旅人"
ogasawara_sachiko,"小笠原幸子"
orca,"逆戟鲸"
yellow_socks,"黄色腿装,黄色袜子"
alp,"阿尔卑斯山"
aoi_kumiko,"葵久美子"
bucket_hat,"有帽檐的棉质半圆帽,渔夫帽"
canteen,"食堂"
dodging,"闪避"
friend_(nanashi_mumei),"朋友(nanashimumei)"
hitsukuya,"日月屋"
kama_(swimsuit_avenger)_(fate),"kama(泳装复仇者)(fate)"
kitahara_tomoe_(kitahara_koubou),"北原友惠(kitaharakoubou)"
narration,"旁白"
railroad_crossing,"铁路道口"
senbei,"仙贝"
cowering,"畏缩,抱头"
cum_inflation,"灌精,灌精液"
ganesagi,"象形神"
male_on_futa,"futa与男,男性对futa"
menu_board,"菜单板"
nostrils,"鼻孔"
pastel_(medium),"粉彩(中等),像粉笔蜡笔作画的"
taut_swimsuit,"紧身泳衣"
yamanaka_sawako,"山中泽和子"
rice_cracker,"仙贝"
railway_crossing,"铁路道口"
aegis_sword_(xenoblade),"宙斯盾剑(异刃)"
beige_cardigan,"米色开衫"
hanging_plant,"悬挂植物"
kamina_shades,"卡米纳墨镜,卡米娜色号"
mamemaki,"豆卷"
phoenix_wright,"凤凰赖特"
rosa_(arknights),"罗莎(方舟之夜)"
sankakusui,"三阁水"
toshishikisai,"俊色斋"
van,"面包车"
wafer_stick,"威化棒,晶圆卷"
senbei_(food),"仙贝"
train_crossing,"铁路道口"
agatsuma_zenitsu,"我妻善逸"
amano_kouki,"天野幸喜"
amasawa_yuuko,"天泽优子"
captain_(kemono_friends),"队长(kemono朋友)"
kamina_glasses,"卡米纳墨镜"
kibina_high_school_uniform,"kibina高中制服"
koizumi_mahiru,"小泉真昼"
storm,"风暴"
tag,"标签"
viper,"毒蛇"
weights,"重量"
wool_(miwol),"羊毛(miwol)"
cookie_straw,"威化棒,晶圆卷"
anya_alstreim,"安雅·阿尔斯特雷姆"
female_service_cap,"女警帽,女性服务帽"
glowing_tattoo,"发光的纹身"
han_(jackpot),"韩(头奖)"
holding_branch,"控股分公司"
liya,"莉亚"
mocha_(cotton),"摩卡(棉)"
red_mittens,"红色连指手套"
rossweisse,"罗斯魏斯"
sazanami_mio,"笹波澪"
against_fourth_wall,"靠着第四面墙"
alpha_signature,"字母签名"
chaesu,"查苏"
chrysanthemum,"菊花,菊属"
hamanami_(kancolle),"hamanami(舰娘)"
inverted_bob,"倒鲍勃"
kisaragi_nana,"如月奈奈"
light_blue_background,"浅蓝色背景"
mannequin,"模特"
massachusetts_(azur_lane),"马萨诸塞州(碧蓝航线)"
nonomi_(swimsuit)_(blue_archive),"nonomi(泳装)(蓝色档案)"
romani_archaman,"罗马阿查曼"
sun_wukong,"孙悟空"
tokoro_megumi,"远惠"
delinquent,"拖欠"
diamond_(houseki_no_kuni),"钻石(housekinokuni)"
emily_(pure_dream),"艾米丽(纯梦)"
fallout_(series),"辐射(系列)"
himemushi_momoyo,"姬虫桃代"
incoming_hug,"即将到来的拥抱"
kanzakietc,"kanzaki等"
miyagoe_yoshitsuki,"宫越吉月"
ru_zhai,"汝寨"
stalk_in_mouth,"嘴里有茎"
tank_focus,"坦克焦点"
bubba_(watson_amelia),"布巴(沃森阿米莉亚)"
chili_pepper,"辣椒"
flower_in_mouth,"花在嘴里"
fur-trimmed_footwear,"毛皮鞋"
gekitotsu!_joshikousei_oiroke_sensha_gundan,"激斗！joshikouseioirokesenshagundan"
gingham,"方格布式"
grima_(fire_emblem),"格里玛(火徽)"
mikazuki_neko,"三日月猫"
pallad,"帕拉德"
prank,"恶作剧"
ruukii_drift,"ruukii漂移"
tenmaso,"天马索"
tsukui_kachou,"月井花町"
asseylum_vers_allusia,"asseylum对allusia"
chakram,"飞轮"
dollar_sign,"美元符号"
hibari_(senran_kagura),"hibari(闪乱神乐)"
kisaragi_momo,"如月桃"
nekoya_(liu),"猫屋(刘)"
orange_rose,"橙玫瑰"
removing_jacket,"脱外套"
sailor_uranus,"水手天王星"
tajima_ryuushi,"但马龙志"
tamamo_cat_(third_ascension)_(fate),"玉藻猫(第三次提升)(fate)"
chili,"辣椒"
azusa_(hws),"梓(hws)"
bull,"公牛"
chained_wrists,"链式手腕"
drowning,"溺水"
frilled_camisole,"褶边吊带背心"
fruit_on_head,"头上的水果"
hakuryuu_(inazuma_eleven),"白龙(闪电十一人)"
homu_(honkai_impact),"homu(honkai冲击)"
kafuu_chino's_school_uniform,"kafuuchino的校服"
sequential,"连续"
spoken_food,"口语食物"
strawberry_panic!,"草莓恐慌！"
chihiro_(kemonomichi),"千寻(kemonomichi)"
guweiz,"古韦兹"
hair_wings,"头发做的翅膀,毛翼"
mai_natsume,"梅夏目"
math,"数学"
naganohara_mio,"长野原澪"
rebe11,"瑞贝11"
redcomet,"红彗星"
russia_(hetalia),"俄罗斯(黑塔利亚)"
sky_lantern,"天灯"
sweater_pull,"毛衣拉"
takase_muh,"高濑muh"
valorant,"勇敢的"
vampire_(azur_lane),"吸血鬼(碧蓝航线)"
white_blood_cell_(hataraku_saibou),"白细胞(hatarakusaibou)"
afterword,"后记"
arcanine,"奥术"
arm_across_waist,"手臂交叉腰"
cow_costume,"牛服装"
eye_trail,"眼踪"
handshake,"握手"
hi_you_(flying_bear),"你好(飞熊)"
hypno,"催眠"
kuroka_(high_school_dxd),"黑冈(高中dxd)"
microwave,"微波炉"
minazuki_(kancolle),"水月(舰娘)"
pretty_rhythm,"节奏漂亮"
scar_on_mouth,"嘴上的疤痕"
spanish_text,"西班牙语文本"
striped_hairband,"条纹发带"
